,0,1
helpful_ratio_mean,0.00021856729140483258,0.00021345856235657282
helpful_ratio_median,0.0,0.0
helpful_ratio_std,0.004931626455949542,0.002602256480563327
rating_mean,3.882028304464237,4.29291851219382
rating_median,5.0,5.0
rating_std,1.5628945247815913,1.2793917806313682
Sentiment_mean,1.256980492869242,1.5901061956347724
Sentiment_median,2.0,2.0
Sentiment_std,0.8624663054172652,0.7485926486454979
subjective_score_mean,0.7788779303160984,0.8019694814980486
subjective_score_median,0.8508468270301819,0.8982951641082764
subjective_score_std,0.21562105236444926,0.22371493373686166
word_count_mean,34.98715917162997,27.749719835636906
word_count_median,19.0,16.0
word_count_std,49.733510589352974,40.34451526207405
sent_count_mean,2.6817113818917,2.4706761299962645
sent_count_median,2.0,2.0
sent_count_std,2.5382211489676463,2.244246881989479
sent_length_mean,13.397643569581355,11.915999317107232
sent_length_median,11.2,10.0
sent_length_std,10.26710128430345,8.612726236939114
title_length_mean,1.3552811321785694,1.5435188644004483
title_length_median,1.0,1.0
title_length_std,1.4771476368006453,1.8250878585518908
review_ext_mean,-0.7584776788153652,-0.3035327392070013
review_ext_median,0.2999999999999998,0.4000000000000003
review_ext_std,1.562714067314318,1.2803794977544984
#adj_mean,0.11869290037475715,0.11959974710771747
#adj_median,0.0975609756097561,0.1
#adj_std,0.102779367365392,0.10831099418700978
#adv_mean,0.08313220451673228,0.07104783417526665
#adv_median,0.0666666666666666,0.0571428571428571
#adv_std,0.0924184271378053,0.08017356557446101
#nouns_mean,0.1962895948609356,0.19060704604747064
#nouns_median,0.1904761904761904,0.1794871794871795
#nouns_std,0.11500409762285743,0.11294250587165071
elap_days_mean,1243.600076498552,1558.759325470943
elap_days_median,1066.0,1345.0
elap_days_std,857.3320847227596,935.2072528896996
image_mean,0.024752745751598273,0.03361972357116175
image_median,0.0,0.0
image_std,0.1553749222288603,0.18025307663908857
FRE_mean,80.55842194415605,86.79510699610438
FRE_median,81.63,87.72
FRE_std,19.990363555831188,18.701507529204594
