rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
4,If you are an ACDC fan you need to get this.,At first I wasn't impressed but now that I've played it a few times and learned the lyrics it's almost as good as their old stuff but not quite..,[],B08KGT79CH,B08KGT79CH,AFKFHMYWG3YOLBKXELZKCAKVGGMA,2021-07-15 18:48:45.142,0,True
4,A Showcase of Lessons Learned and Love Lost - A Cry of a Soul in Emotional Torment!,"Over the years I've heard many Adele songs and she always seemed to be singing about one man from a long time ago that she seemed to have a hard time getting over. In this one she is again singing about men, men who do not appreciate her for the beautiful soul she is. My one thought after listening to this CD is that Adele needs to fall in love with God, not another man! Her soul is craving the unconditional love only God can give her. A man should be second place to God.<br /><br />Many of the songs on this album are like therapy sessions where she is talking about her issues, even crying openly. I admit it is somewhat difficult to listen to unless you've been through depression and can relate. As someone who has fallen in love and been hurt in the past I know human love in a relationship falls short of most people's expectations.<br /><br />One thing I did consider is that this CD is like a warning for people who listen to it. The lyrics about just wanting to have fun even when something is not right is a huge red flag. It shows what can happen to people when they have this attitude and don't consider their spiritual health. Everyone makes mistakes!<br /><br />The battle between the heart and mind can lead a person to a state that is not pleasant to live in. Either Adele has learned this valuable lesson or she will make more albums with her pain. Yes, it is hard to try, we all can relate. But she can be free an happy again if she focuses more on God and less on men to satisfy the cry of her emotional torment.<br /><br />My copy was also cracked on the front and it was sent in a box! So not sure why all these copies are cracked! Maybe it is symbolic like something is broken. A heart!<br /><br />~The Rebecca Review",[],B09HVRTMFX,B09HVRTMFX,AGWDYYVVWM3DC3CASUZKXK67G6IA,2021-12-05 20:23:04.347,9,True
5,Adele One-Upped Herself!,Ignore these other comments - this album is amazing and even more deep than her first. It’s REAL. And some people just can’t handle raw life. Way to sing the crap out of yourself girl!,[],B09HVRTMFX,B09HVRTMFX,AFSVOL4QITWPJPMOAVVZIT34ZACA,2022-01-24 00:40:20.849,0,False
5,New road trip cd,Gift well received,[],B08KGT79CH,B08KGT79CH,AFJMUEPO2EIDJMPTIOVEUPXOM7YQ,2020-12-21 11:41:12.727,0,True
3,Not her best:(,I ordered this cd 2 times both came broke. I love her music and was super excited the day I found out she had new music.  Unfortunately this is not her best work.  I only liked about 2 songs.,[],B09HVRTMFX,B09HVRTMFX,AGTSW5XLVDFJ5CMK24TEX5R6GKPQ,2021-11-23 17:55:52.430,2,True
3,Don’t get me wrong I love Adele I didn’t seem like her type of music is really differentd today,Don’t get me wrong I love Adele but the city I did not like at all I didn’t seem like her type of music is really different,[],B09HVRTMFX,B09HVRTMFX,AFDMBP5WKTPK4TUMUXPDDDQOFP2A,2022-01-15 02:07:49.844,0,True
5,dvd,works great,[],B08KGT79CH,B08KGT79CH,AHEY2S72P7JOH4EYJED7M2IEDLLQ,2020-12-24 05:37:18.775,0,True
5,ac/dc...great band. great music.,ac/dc...great band. great music.,[],B08KGT79CH,B08KGT79CH,AGEWBBUZEXZJVYISJRSDQZIA7PIQ,2021-11-21 06:46:52.170,0,True
5,What's not to love.,Big fan!,[],B09HVRTMFX,B09HVRTMFX,AF7FPPV2KMHZPN3NGSPV5347HROA,2022-01-23 00:25:06.250,0,True
4,Slightly disappointed,"I love Adele so much and have enjoyed all of her music and when ‘30’ was announced I was anxious to receive it. I’m afraid it was a bit of a let down for me. It’s rather depressing, to me anyway but that’s just my opinion. I still love her though. Hopefully the next one will be more upbeat.",[],B09HVRTMFX,B09HVRTMFX,AEKLS7IGU7RQ4PDKDFT2SLRSK6YA,2022-02-07 22:08:36.561,0,True
